#,Target,Mode,IP,Protocol,URL Rating,Domain Rating,Ahrefs Rank,Organic / Total Keywords,Organic / Keywords (Top 3),Organic / Keywords (4-10),Organic / Keywords (11-20),Organic / Keywords (21-50),Organic / Keywords (51+),Organic / Traffic,Organic / Value,Organic / Top Countries,Paid / Keywords,Paid / Ads,Paid / Traffic,Paid / Cost,Ref. domains / All,Ref. domains / Followed,Ref. domains / Not followed,Ref. IPs / IPs,Ref. IPs / Subnets,Backlinks / All,Backlinks / Followed,Backlinks / Not followed,Backlinks / Redirects,Backlinks / Internal,Outgoing domains / Followed,Outgoing domains / All time,Outgoing links / Followed,Outgoing links / All time
255,onesky.ai/blog/localization-marketing,prefix,75.2.70.75,both,0,60,273264,5,,4,1,,,25,45.08,"(br, 11)",,,,,1,,1,1,1,1,,1,,1,,,,
22,www.translate.one/how-to-increase-your-global-audience-reach-with-video-translation/,prefix,206.189.239.152,both,4.5,59,302285,,,,,,,,,,,,,,1,1,,1,1,5,5,,2,21,7,10,8,11
82,netchex.com/the-language-of-learning-the-importance-of-multilingual-training/,prefix,104.26.9.67,both,4.6,59,299139,,,,,,,,,,,,,,2,1,1,2,2,2,1,1,,11,7,8,8,9
119,www.acclaro.com/blog/maximizing-impact-with-localized-video-your-complete-guide/,prefix,172.67.69.9,both,0,59,300609,3,2,1,,,,19,22.99,"(us, 19)",,,,,1,1,,1,1,1,1,,,,,,,
137,www.vozo.ai/blogs/dub-vs-subtitles,prefix,3.174.141.66,both,4.6,59,287112,4,,,,2,2,,,"(us, 0)",,,,,,,,,,,,,,44,7,7,8,8
143,adilo.com/blog/video-marketing-strategy-for-2026-according-to-experts/,prefix,5.161.203.158,both,0,59,294326,,,,,,,,,,,,,,,,,,,,,,,76,22,23,39,40
187,dubverse.ai/blog/how-to-get-more-views-on-youtube/,prefix,172.67.154.115,both,4.5,59,294102,5,,,,1,4,,0,"(us, 0)",,,,,,,,,,,,,,8,,,,
280,powell-software.com/resources/blog/employee-engagement-strategies/,prefix,23.185.0.1,both,4.4,59,291836,,,,,,,,,,,,,,2,2,,2,2,16,16,,,16,12,13,23,24
180,bluetext.com/blog/creating-scalable-content-marketing-frameworks-for-global-saas-companies/,prefix,23.185.0.3,both,4.4,58,330504,,,,,,,,,,,,,,,,,,,,,,,3,4,4,4,4
198,www.distribution.ai/blog/content-localization-shorts-reels-tiktok,prefix,137.184.114.216,both,0,58,311040,,,,,,,,,,,,,,2,2,,2,2,3,3,,,12,8,11,10,15
243,sync.so/blog/how-to-use-ai-lip-sync-tools-for-professional-video-editing-step-by-step-guide-2/,prefix,104.18.22.221,both,0,58,316106,2,2,,,,,15,1.76,"(id, 14)",,,,,2,1,1,2,2,5,3,2,,5,7,7,7,7
212,www.argosmultilingual.com/blog/global-compliance-local-consistency-ensuring-effective-localized-training-worldwide,prefix,64.226.118.246,both,4.5,57,358646,,,,,,,,,,,,,,,,,,,,,,,4,6,7,7,8
263,www.motionpoint.com/blog/unlocking-new-markets-with-localized-video-content-in-2025/,prefix,104.238.130.177,both,4.6,57,358116,,,,,,,,,,,,,,,,,,,,,,,13,6,6,6,6
2,www.gmrtranscription.com/blog/podcast-translation-are-podcasts-getting-more-multilingual,prefix,138.91.142.187,both,4.5,56,382606,,,,,,,,,,,,,,3,1,2,3,3,3,1,2,,4,9,12,13,20
24,www.qandle.com/blog/ai-for-global-hr/,prefix,52.77.104.216,both,4.5,56,392562,,,,,,,,,,,,,,,,,,,,,,,6,1,3,1,3
97,www.clueso.io/blog/ai-video-translation,prefix,52.223.52.2,both,4.5,56,379839,,,,,,,,,,,,,,1,1,,1,1,1,1,,,5,3,4,4,6
117,www.localizationinstitute.com/a-media-localization-primer-types-challenges-and-future-avenues/,prefix,176.52.245.252,both,0,56,392732,1,1,,,,,8,,"(us, 8)",,,,,2,1,1,2,2,2,1,1,,,,,,
165,www.guildhawk.com/blog/what-is-ai-dubbing-your-comprehensive-guide-from-guildhawk,prefix,141.101.90.96,both,0,54,467685,,,,,,,,,,,,,,,,,,,,,,,7,5,6,5,6
209,coggno.com/blog/how-to-scale-compliance-training-globally-choosing-a-company-with-multilingual-support/,prefix,104.26.8.56,both,0,54,452071,,,,,,,,,,,,,,,,,,,,,,,2,8,15,10,19
13,www.herenow.film/video-seo-guide,prefix,141.193.213.10,both,4.5,53,503181,5,3,,,,2,,0,"(us, 0)",,,,,2,2,,3,3,4,4,,,,18,18,37,47
54,rallyrecruitmentmarketing.com/2025/09/best-employer-brand-video-examples-2025-featuring-atb-westpac-and-cbre/,prefix,35.212.120.247,both,6,53,526052,5,5,,,,,48,104.01,"(us, 46)",,,,,1,1,,1,1,1,1,,,35,11,12,16,19
77,www.youngurbanproject.com/best-ai-voiceover-tools/,prefix,172.67.133.46,both,4.6,53,499182,4,2,,1,,1,,0.05,"(us, 0)",,,,,3,3,,4,4,8,8,,,22,7,9,7,10
244,lipsync.studio/blog/how-to-lip-sync-video,prefix,104.21.67.199,both,0,53,507108,,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,3
293,humanfocus.co.uk/blog/multilingual-health-and-safety-platform-experience/,prefix,172.67.72.67,both,0,53,506031,,,,,,,,,,,,,,1,1,,1,1,1,1,,,,,,,
9,www.proceedinnovative.com/blog/video-seo-guide-2025/,prefix,69.162.78.70,both,4.7,52,538944,18,4,9,2,1,2,149,52.01,"(us, 146)",,,,,4,4,,5,5,7,7,,,4,8,8,11,11
211,www.flagright.com/post/the-definitive-guide-to-mastering-multilingual-compliance-in-global-operations,prefix,198.202.211.1,both,4.5,52,575613,,,,,,,,,,,,,,1,1,,1,1,1,1,,,4,5,7,6,8
222,trainn.co/blog/how-to-use-videos-in-customer-service/,prefix,13.226.144.12,both,0,52,570833,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,redokun.com/blog/marketing-localization,prefix,104.26.9.12,both,4.6,52,537308,4,,2,1,1,,8,16.29,"(gb, 3)",,,,,9,2,7,8,8,16,3,13,,19,27,29,46,50
276,www.5mins.ai/resources/blog/the-multi-format-magic-of-microlearning-platforms-video-text-and-interactive-training-success,prefix,141.101.90.99,both,0,52,584219,,,,,,,,,,,,,,,,,,,,,,,10,6,7,8,9
62,beverlyboy.com/filmmaking/what-is-multilingual-testimonial-production/,prefix,172.67.219.75,both,0,50,697605,,,,,,,,,,,,,,,,,,,,,,,1,5,7,5,9
89,growth-engines.com/insights/branding/maintaining-consistent-brand-identity-across-digital-markets,prefix,35.190.31.54,both,4.5,49,717846,,,,,,,,,,,,,,4,2,2,4,4,5,2,3,,13,2,5,2,5
106,bluecarrot.io/blog/how-to-develop-multilingual-e-learning-videos-8-steps-to-global-success/,prefix,104.21.63.148,both,4.4,49,734324,,,,,,,,,,,,,,1,,1,1,1,1,,1,,3,7,11,9,14
238,www.supertone.ai/en/work/global-content-my-voice-ai-23-languages,prefix,198.202.211.1,both,4.7,49,729902,,,,,,,,,,,,,,,,,,,,,,,62,6,7,9,11
260,ssojet.com/blog/video-translation-for-sso-training,prefix,104.26.11.202,both,5,49,729441,,,,,,,,,,,,,,,,,,,,,,,4,4,5,4,5
266,wowto.ai/blog/how-to-create-a-content-localization-strategy-for-customer-education,prefix,52.84.118.88,both,4.6,49,718346,,,,,,,,,,,,,,,,,,,,,,,1,1,1,4,4
148,storykit.io/blog/repurpose-video-content,prefix,54.155.19.65,both,4.4,48,791362,1,,,,1,,,0,"(us, 0)",,,,,,,,,,,,,,1,7,8,10,11
178,veracontent.com/mix/global-content-strategy/,prefix,104.21.56.90,both,4.6,47,881033,1,,,,1,,,,"(us, 0)",,,,,1,,1,1,1,1,,1,,9,15,18,23,27
194,xtm.ai/blog/content-localization,prefix,199.60.103.47,both,0,47,868358,10,1,7,1,1,,40,72.45,"(us, 13)",,,,,3,3,,5,3,575,575,,1,36,14,16,24,28
204,www.pixeltable.com/blog/automated-video-translation-voiceover-pipeline,prefix,172.67.72.175,both,0,47,877137,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,schoolmaker.com/blog/ai-online-course-creator,prefix,198.202.211.1,both,0,45,1015720,3,,2,,1,,5,37.47,"(us, 5)",,,,,,,,,,,,,,1,,,,
85,shootsta.com/blog/video-content-localization-global-markets/,prefix,216.150.1.1,both,4.5,45,971709,,,,,,,,,,,,,,1,,1,1,1,3,,3,,2,4,5,4,5
277,bizky.ai/blog/employee-engagement-in-global-remote-teams/,prefix,195.78.67.57,both,0,45,989727,,,,,,,,,,,,,,,,,,,,,,,4,5,7,7,9
128,www.emptrust.com/multilingual-onboarding-the-art-of-driving-employee-engagement-with-translated-material/,prefix,104.26.15.75,both,0,44,1110284,,,,,,,,,,,,,,,,,,,,,,,13,6,7,6,7
221,taia.io/resources/blog/localization-trends-future-global-communication/,prefix,172.67.214.92,both,0,44,1089141,,,,,,,,,,,,,,6,4,2,6,6,12,9,3,,16,5,5,5,5
38,interprenet.net/multilingual-subtitling,prefix,199.60.103.118,both,5,43,1189536,1,,1,,,,1,,"(us, 1)",,,,,,,,,,,,,,148,3,6,9,13
228,birdeatsbug.com/blog/video-captioning-best-practices,prefix,54.155.19.65,both,4.5,43,1142156,,,,,,,,,,,,,,1,1,,1,1,1,1,,,3,8,9,14,15
30,www.coffeepals.com/blog/how-to-make-collaboration-work-across-time-zones-and-global-teams,prefix,198.202.211.1,both,0,42,1219181,,,,,,,,,,,,,,,,,,,,,,,83,17,17,22,22
116,www.lipdub.ai/blogs/marketing-localization,prefix,198.202.211.1,both,0,42,1315411,3,,,1,1,1,3,3.74,"(us, 3)",,,,,1,1,,1,1,1,1,,,1,7,8,8,9
193,exemplary.ai/en/blog/repurpose-webinar-content,prefix,76.76.21.21,both,0,42,1237763,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,www.mytonomy.com/blog/digital-patient-education-microlearning-guide-for-health-systems,prefix,199.60.103.30,both,0,41,1372717,1,1,,,,,15,,"(us, 15)",,,,,,,,,,,,,,4,13,13,16,16
112,filmgrail.com/blog/how-to-localize-video-content-for-global-audiences/,prefix,54.146.5.137,both,4.5,41,1371007,,,,,,,,,,,,,,,,,,,,,,,6,6,11,7,14
129,assimasolutions.com/resources/blog/why-traditional-onboarding-fails-for-global-teams-and-what-to-do-about-it/,prefix,141.193.213.21,both,4.4,41,1339405,,,,,,,,,,,,,,2,2,,3,3,24,24,,,4,,,,
160,jrlanguage.com/blog/elearning-translation-essential-best-practices-for-a-global-audience/,prefix,194.1.147.93,both,4.4,41,1346899,6,2,,,1,3,,0.16,"(us, 0)",,,,,1,,1,2,1,32,,32,,5,8,9,9,10
249,omniplexlearning.com/blog/whats-new-in-ld-trends-you-cant-ignore-in-2026/,prefix,104.21.78.251,both,4.6,41,1399416,,,,,,,,,,,,,,,,,,,,,,,1,4,5,4,5
298,www.techclass.com/resources/learning-and-development-articles/multi-language-member-training-reaching-a-diverse-audience,prefix,198.202.211.1,both,0,41,1332730,,,,,,,,,,,,,,,,,,,,,,,3,5,13,5,14
48,globalinterpreting.com/blog/patient-education-materials-ensuring-accessibility-for-lep-populations/,prefix,35.208.188.125,both,0,40,1435597,1,,,,1,,,,"(us, 0)",,,,,1,,1,1,1,1,,1,,6,14,14,22,22
56,storiesincorporated.com/best-employer-branding-videos/,prefix,141.193.213.11,both,4.5,40,1476165,5,1,4,,,,17,34.08,"(us, 17)",,,,,2,1,1,2,2,4,3,1,,3,6,6,7,15
81,ititranslates.com/navigating-dei-changes-what-it-means-for-language-services/,prefix,151.101.194.159,both,4.4,40,1536139,1,,,,1,,,0,"(us, 0)",,,,,,,,,,,,,,9,10,10,13,13
91,www.adverbum.com/post/best-ai-translation-tools-in-2026-ranked-8,prefix,34.160.37.117,both,0,40,1552785,2,,2,,,,7,0.27,"(us, 6)",,,,,,,,,,,,,,7,8,16,9,23
94,enterprisetube.com/blog/learning-and-development,prefix,199.60.103.125,both,0,40,1497954,,,,,,,,,,,,,,,,,,,,,,,5,,,,
100,vatis.tech/blog/how-to-translate-youtube-videos-your-easy-guide,prefix,52.28.246.80,both,5,40,1542835,6,,1,,3,2,3,0.03,"(id, 3)",,,,,,,,,,,,,,837,4,5,6,7
130,www.interproinc.com/3-reasons-why-elearning-translation-is-important-for-manufacturers/,prefix,141.193.213.10,both,0,40,1557378,,,,,,,,,,,,,,,,,,,,,,,7,8,10,8,10
296,ehscareers.com/employer-blog/multilingual-safety-programs-beyond-google-translate/,prefix,172.67.133.118,both,0,40,1556613,,,,,,,,,,,,,,1,,1,1,1,1,,1,,,,,,
225,weet.co/blog/knowledge-base-video-everything-you-need-to-know,prefix,99.83.181.15,both,4.5,39,1696195,1,,1,,,,1,,"(us, 1)",,,,,,,,,,,,,,1,6,6,6,6
233,www.marketbetter.ai/blog/best-ai-video-tools-sales-teams-2026/,prefix,172.67.73.103,both,0,39,1677662,,,,,,,,,,,,,,,,,,,,,,,1,,,,
272,www.ottolearn.com/post/111-simplify-multilingual-content-with-the-right-microlearning-platform,prefix,198.202.211.1,both,4.4,39,1602369,,,,,,,,,,,,,,,,,,,,,,,16,17,18,24,25
226,ivannovation.com/blog/how-to-translate-videos/,prefix,104.21.37.197,both,4.5,38,1871522,,,,,,,,,,,,,,1,,1,1,1,1,,1,,3,9,11,13,15
297,www.atlantictraining.com/blog/multilingual-safety-training-companies/,prefix,,both,0,38,1884513,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,multilingualconnections.com/blog/the-power-of-translation-in-building-a-more-inclusive-workplace-culture/,prefix,192.124.249.105,both,0,37,2066263,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,deephow.com/blog/8-expert-tips-for-video-training,prefix,198.202.211.1,both,4.5,37,1951484,,,,,,,,,,,,,,,,,,,,,,,30,7,7,8,8
181,goodmanlantern.com/blog/enterprise-content-marketing-strategy/,prefix,141.193.213.10,both,4.4,37,2037960,,,,,,,,,,,,,,2,,2,2,2,2,,2,,,,,,
264,longstories.ai/blog/ai-vs-manual-video-production-cost-comparison,prefix,172.67.72.108,both,0,37,2062491,,,,,,,,,,,,,,6,3,3,6,6,6,3,3,,1,5,10,7,12
99,www.transyncai.com/blog/how-to-translate-youtube-video-to-english/,prefix,163.181.57.187,both,4.5,36,2145486,22,7,12,2,1,,219,20.34,"(in, 80)",,,,,,,,,,,,,,61,12,12,16,16
195,www.truefan.ai/blogs/content-localization-ultimate-guide-2025,prefix,74.225.185.139,both,0,36,2233698,3,,1,,2,,1,0.94,"(nl, 1)",,,,,1,,1,1,1,2,,2,,3,1,6,1,6
66,www.adhoc-translations.com/blog/how-to-translate-annual-reports/,prefix,5.134.13.79,both,4.5,35,2292145,,,,,,,,,,,,,,1,1,,1,1,1,1,,,9,7,9,8,10
80,www.astlanguage.com/blog/how-multilingual-training-benefits-organisations-dei-efforts/,prefix,185.151.30.130,both,4.8,35,2455348,,,,,,,,,,,,,,,,,,,,,,,6,,,,
96,www.learningzen.com/elearning/luma1-transforming-your-videos-into-engaging-tutorials/,prefix,52.89.221.214,both,0,35,2447024,,,,,,,,,,,,,,,,,,,,,,,10,8,19,10,23
242,www.1stopasia.com/blog/voice-cloning-ai-dubbing-multilingual-content/,prefix,38.242.212.211,both,0,35,2431384,,,,,,,,,,,,,,,,,,,,,,,11,,3,,3
245,shortgenius.com/blog/lip-sync-ai,prefix,76.76.21.21,both,0,35,2469222,,,,,,,,,,,,,,,,,,,,,,,1,2,7,2,7
58,www.storytellervideos.com/blog/creating-franchise-training-videos,prefix,199.60.103.31,both,4.5,34,2587104,,,,,,,,,,,,,,,,,,,,,,,9,3,9,3,10
59,codeoftalent.com/blog/franchise-training-program-for-hospitality/,prefix,54.194.62.59,both,4.5,34,2591221,,,,,,,,,,,,,,,,,,,,,,,14,,17,,18
164,pitchavatar.com/video-dubbing-guide/,prefix,18.245.162.54,both,0,34,2671841,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,aidubbing.io/blog/grow-your-youtube-channel-with-audio-dubbing,prefix,172.67.190.197,both,4.7,34,2717577,,,,,,,,,,,,,,,,,,,,,,,7,1,3,1,3
236,www.tryhooked.ai/blog/best-ai-video-creation-tools,prefix,216.150.16.65,both,0,34,2724790,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
265,bonomotion.com/understanding-video-production-costs/,prefix,185.151.30.183,both,4.4,34,2698436,2,,,,2,,,0.04,"(us, 0)",,,,,,,,,,,,,,4,,,,
283,blog.andovar.com/elearning-localization-ultimate-guide,prefix,199.60.103.254,both,4.4,34,2573260,5,,4,,1,,32,135.54,"(us, 21)",,,,,3,3,,3,3,9,9,,,8,8,11,13,17
124,travod.com/blog/rise-of-global-video,prefix,144.126.238.250,both,0,33,2815985,,,,,,,,,,,,,,,,,,,,,,,5,14,15,19,20
301,www.aimagicx.com/blog/ai-dubbing-video-localization-global-growth-2026,prefix,216.150.1.1,both,0,33,2941463,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,webrand.com/blog/localization/enterprise-top-5-multilingual-content-management-challenges-solutions,prefix,54.209.36.1,both,0,32,3159087,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,gmarketing.io/saas-marketing-strategies-for-global-expansion-how-to-reach-clients-worldwide/,prefix,167.88.37.161,both,4.8,32,3264012,,,,,,,,,,,,,,,,,,,,,,,8,4,4,4,4
256,www.vireovideo.com/how-to-reach-global-audiences-on-youtube/,prefix,104.26.11.243,both,0,32,3220833,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,blog.jobpixel.com/enhancing-diversity-inclusion-multilingual-video-campaigns,prefix,199.60.103.225,both,0,32,3202672,,,,,,,,,,,,,,,,,,,,,,,13,5,5,6,6
274,www.tyfoom.com/blog/video-killed-the-lecture-star-why-your-brain-craves-video-learning/,prefix,141.193.213.20,both,4.5,32,3247040,,,,,,,,,,,,,,,,,,,,,,,4,11,12,15,16
156,blog.ollang.com/en/blog-details/subtitling-videos-for-global-employees,prefix,172.67.185.220,both,0,31,3453906,,,,,,,,,,,,,,1,1,,1,1,1,1,,,,,1,,1
163,www.lemonfox.ai/blog/best-ai-dubbing-software,prefix,104.26.9.237,both,0,31,3369517,3,,2,1,,,33,13.6,"(us, 33)",,,,,4,4,,5,5,13,13,,,,13,13,15,15
15,www.rippleanimation.com/blog/tips-to-create-multilingual-explainer-videos-with-ai/,prefix,172.67.208.102,both,0,30,3952190,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,www.captioningstar.com/blog/lip-dubbing-guide/,prefix,35.212.115.241,both,4.5,30,3693426,5,,4,,,1,13,0,"(us, 13)",,,,,1,1,,1,1,1,1,,,7,9,10,15,16
294,www.udext.com/blog/multilingual-safety-briefings-for-distributed-workforces,prefix,198.202.211.1,both,0,30,3839719,,,,,,,,,,,,,,,,,,,,,,,1,7,8,7,8
93,www.keevx.com/en/blog/best-ai-video-translators-in-2026-features-quality-use-cases,prefix,34.160.162.65,both,0,29,4118232,,,,,,,,,,,,,,,,,,,,,,,6,,,,
179,www.hashmeta.ai/en/blog/ai-content-localization-how-to-adapt-marketing-content-for-global-markets-at-scale,prefix,172.67.156.34,both,0,29,4255147,,,,,,,,,,,,,,,,,,,,,,,5,4,4,10,10
10,optimational.com/blog/youtube-video-translation-best-practices-for-seo/,prefix,195.200.9.109,both,5,28,4717012,,,,,,,,,,,,,,,,,,,,,,,51,8,9,8,9
153,thinkbrandedmedia.com/blog/expanding-your-reach-tips-for-adding-multiple-languages-to-subtitles/,prefix,141.193.213.11,both,4.5,28,4539164,,,,,,,,,,,,,,,,,,,,,,,2,6,9,6,16
223,www.convey911.com/blog/translation-in-communication,prefix,199.60.103.227,both,4.9,28,4520471,,,,,,,,,,,,,,,,,,,,,,,22,,4,,4
227,www.aglatech14.com/en/how-to-make-your-videos-accessible-with-multilingual-subtitles/,prefix,,both,0,28,4600602,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,saasconsult.co/blog/saas-gtm-strategy-international-expansion/,prefix,216.198.79.193,both,0,27,5195467,,,,,,,,,,,,,,1,1,,1,1,1,1,,,1,2,3,2,4
70,noiz.ai/use-cases/en/The-Best-Multilingual-AI-Voiceover-Studio,prefix,34.107.181.52,both,0,26,5737978,,,,,,,,,,,,,,,,,,,,,,,53,,1,,1
78,www.scmgalaxy.com/tutorials/top-10-ai-multilingual-voiceovers-tools-in-2025-features-pros-cons-comparison/,prefix,13.127.15.21,both,0,26,5438387,,,,,,,,,,,,,,,,,,,,,,,8,3,3,13,13
184,www.subsub.io/blog/youtube-video-translation,prefix,198.202.211.1,both,4.5,26,5336034,,,,,,,,,,,,,,,,,,,,,,,75,8,8,11,12
217,www.almtranslations.com/news/using-ai-video-services-in-internal-communication-strategies/,prefix,35.214.105.127,both,0,26,5649033,,,,,,,,,,,,,,,,,,,,,,,105,5,6,5,6
258,spoken-here.com/best-practices/multilingual-videos-improving-training-for-non-english-speaking-employees/,prefix,192.145.235.247,both,4.5,26,5427042,,,,,,,,,,,,,,,,,,,,,,,10,10,10,12,13
262,www.braahmam.net/post/how-professional-subtitling-services-improve-multilingual-video-content,prefix,34.160.37.117,both,0,26,5347626,,,,,,,,,,,,,,,,,,,,,,,6,7,7,7,7
207,www.ngram.com/blog/article/best-product-demo-video-makers,prefix,66.33.60.67,both,0,25,5819110,,,,,,,,,,,,,,,,,,,,,,,2,7,7,11,11
18,aviewint.com/blog/video-localization,prefix,13.226.144.6,both,0,24,6526053,1,,,,1,,,1.08,"(us, 0)",,,,,,,,,,,,,,,,,,
75,articles.speakatoo.com/best-ai-voice-generator-tools-in-2026-why-speakatoo-leads-the-voice-tech-revolution/,prefix,43.204.87.123,both,4.6,23,6808711,,,,,,,,,,,,,,1,,1,1,1,2,,2,,179,3,3,4,4
240,trembit.com/blog/speech-to-speech-translation-solutions-with-ai-voice-cloning-explained/,prefix,185.68.16.20,both,0,23,6696981,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,fatcowdigital.com/blog/ai-topics/ai-text-to-speech-guide-2026/,prefix,172.67.154.61,both,0,22,7013812,,,,,,,,,,,,,,1,1,,1,1,1,1,,,3,10,12,13,16
183,dubly.ai/blog/how-to-translate-youtube-videos-professionally-and-reach-a-global-audience,prefix,198.202.211.1,both,4.5,22,7075373,,,,,,,,,,,,,,,,,,,,,,,5,5,6,5,6
36,nlsblog.org/2026/01/09/transcribing-and-translating-with-subtitle-edit/,prefix,192.0.78.218,both,4.5,21,7782468,,,,,,,,,,,,,,,,,,,,,,,98,5,6,15,18
20,www.ugcfactory.io/blog/tiktok-translation-for-captions-how-it-works-why-it-matters-2025,prefix,66.33.60.194,both,0,20,8036789,2,,2,,,,1,,"(us, 1)",,,,,,,,,,,,,,1,,,,
73,voiceovermaker.com/blog/free-ai-voice-generator-2025/,prefix,18.244.124.30,both,0,20,8013198,,,,,,,,,,,,,,,,,,,,,,,15,3,3,4,4
90,easycontent.io/resources/content-templates-for-global-consistency/,prefix,3.211.193.247,both,0,20,8262483,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2
188,translinguist.com/blog/translating-youtube-videos-can-increase-viewers-and-revenue/,prefix,172.67.172.56,both,5,20,8094182,,,,,,,,,,,,,,2,2,,2,2,2,2,,,9,6,8,6,9
